条款文本,风险标签,合同类型,时间
买方应在收到发票后30日内将全部货款电汇至卖方指定账户,付款,采购合同,2024-01-15
如卖方逾期交付超过10日，买方有权解除合同并要求支付合同总金额10%的违约金,违约,采购合同,2024-01-16
本合同期限届满前30日，如双方均未书面提出终止，则自动续约一年,自动续约,服务合同,2024-02-01
乙方应于每月5日前支付上月服务费，逾期按日万分之五计收滞纳金,付款,服务合同,2024-02-10
任何一方违反本合同约定，应向守约方赔偿全部实际损失,违约,劳动合同,2024-02-15
本协议每年到期自动续期，除非一方提前60天书面通知终止,自动续约,租赁合同,2024-03-01
首付款为合同金额的30%，于合同签署后5个工作日内支付,付款,建设工程合同,2024-03-05
工程质量不符合约定标准的，承包方应无偿返修并承担由此造成的损失,违约,建设工程合同,2024-03-10
合同到期双方无异议的，自动延续相同期限,自动续约,采购合同,2024-03-15
甲方需在验收合格后15个工作日内支付剩余20%尾款,付款,采购合同,2024-03-20
当事人一方迟延履行主要债务，经催告后仍不履行的，对方可以解除合同,违约,采购合同,2024-03-25
本合同期满后自动续展12个月，续展次数不限,自动续约,服务合同,2024-04-01
租赁费用按季度支付，每季度首月10日前缴付,付款,租赁合同,2024-04-05
如因供方原因造成产品质量问题，供方应赔偿需方因此遭受的一切损失,违约,采购合同,2024-04-10
劳动合同期满双方未提出终止的，视为自动续签无固定期限合同,自动续约,劳动合同,2024-04-15
设计费分三期支付，合同签订付30%，初稿交付付30%，终稿交付付40%,付款,服务合同,2024-04-20
因乙方过错导致项目延期的，每逾期一日按合同总额0.1%支付违约金,违约,服务合同,2024-04-25
本协议每年自动续期，除非任一方在到期日前90天发出终止通知,自动续约,服务合同,2024-05-01
尾款应在质保期届满后7个工作日内一次性无息付清,付款,建设工程合同,2024-05-05
一方违约致使合同目的无法实现的，守约方有权单方解除合同并索赔,违约,建设工程合同,2024-05-10
合同到期后双方继续履行的，视为按原条件自动续期一年,自动续约,采购合同,2024-05-15
股权转让款应在工商变更登记完成后10日内支付至转让方指定账户,付款,股权转让协议,2024-05-20
受让方未按约定支付转让款的，每日按未付金额的千分之一支付违约金,违约,股权转让协议,2024-05-25
本合同期限自动续延，直至双方书面终止,自动续约,服务合同,2024-06-01
许可费按年支付，每年使用前30日内缴纳当年费用,付款,许可合同,2024-06-05
被许可人违反保密义务的，应支付许可费总额三倍的惩罚性赔偿金,违约,许可合同,2024-06-10
本许可每年自动续期，被许可人按时缴费即可延续,自动续约,许可合同,2024-06-15
甲方应于货物交付验收后60日内以银行承兑汇票方式支付货款,付款,采购合同,2024-06-20
逾期交货超过15日的，买方有权退货并要求返还已付款项及利息,违约,采购合同,2024-06-25
合作期满双方未提出终止的，合作关系自动延续两年,自动续约,合作协议,2024-07-01
保证金在合同终止且无遗留问题后30日内无息退还,付款,租赁合同,2024-07-05
擅自解除合同的一方应向对方支付合同总金额20%的解约赔偿金,违约,租赁合同,2024-07-10
顾问合同每年自动续签，除非一方提前45天书面告知不续约,自动续约,服务合同,2024-07-15
进度款按完成工程量的70%按月支付，次月15日前拨付,付款,建设工程合同,2024-07-20
施工方偷工减料的，发包方有权要求返工并扣减相应工程款项,违约,建设工程合同,2024-07-25
框架协议到期自动续期三年，可多次续展,自动续约,采购合同,2024-08-01
居间服务费应在交易完成后5日内按成交额的2%支付给居间方,付款,居间合同,2024-08-05
委托人跳单的，仍应按约定支付全额居间报酬并承担违约责任,违约,居间合同,2024-08-10
本合同到期自动延长相同期限，除非任何一方提前终止,自动续约,居间合同,2024-08-15
技术服务费按里程碑节点支付，每个节点验收合格后10日内付款,付款,技术服务合同,2024-08-20
技术成果不符合验收标准的，受托方应退还已收费用并赔偿损失,违约,技术服务合同,2024-08-25
服务合同期满自动续期，续期期间费用按原标准执行,自动续约,技术服务合同,2024-09-01
货款分两批支付，首批50%发货前支付，剩余50%收货后30天支付,付款,采购合同,2024-09-05
卖方交付的货物数量短缺的，应在3日内补足并承担买方损失,违约,采购合同,2024-09-10
本协议自动续期条款永久有效，直至双方协商终止,自动续约,服务合同,2024-09-15
承租方应于合同签订当日一次性支付三个月租金作为押金,付款,租赁合同,2024-09-25
提前退租的，押金不予退还且需支付两个月租金作为违约金,违约,租赁合同,2024-10-01
租赁期满承租人继续使用租赁物出租人无异议的，原租赁合同继续有效,自动续约,租赁合同,2024-10-05
价款应在标的物所有权转移后90日内结清,付款,采购合同,2024-10-15
包装不符合合同约定造成货物损坏的，卖方应赔偿全部损失,违约,采购合同,2024-10-20
仓储合同到期后双方继续履行的，视为不定期仓储，原条款继续适用,自动续约,仓储合同,2024-10-25
仓储费按月结算，次月10日前支付上月仓储费用,付款,仓储合同,2024-11-01
保管人未尽妥善保管义务导致仓储物灭失的，应按市场价值全额赔偿,违约,仓储合同,2024-11-05
本合同每年自动续期，双方均享有任意解除权但需提前通知,自动续约,仓储合同,2024-11-10
咨询服务费按实际服务时长计费，每月底结算当月费用,付款,咨询服务合同,2024-11-15
咨询报告存在重大错误导致委托人损失的，咨询方应全额退费并赔偿,违约,咨询服务合同,2024-11-20
委托合同到期自动续期，除非任一方提出书面异议,自动续约,咨询服务合同,2024-11-25
运输费用应在货物安全送达并签收后5日内支付,付款,运输合同,2024-12-01
承运人延迟运输导致货物变质的，应承担货物价值全部损失,违约,运输合同,2024-12-05
长期运输合同到期自动延续两年，运价按市场情况协商调整,自动续约,运输合同,2024-12-10
合同签订后7日内买方支付20%定金，余款货到验收合格后付清,付款,采购合同,2024-12-15
收受定金一方不履行合同的，应双倍返还定金,违约,采购合同,2024-12-20
本合同到期后双方如继续交易，适用本合同全部条款自动续期,自动续约,采购合同,2024-12-25
