条款文本,风险标签,合同类型,时间
买方应在收到发票后3日内支付首付款,付款,采购合同,2026-06-17
验收合格后10日内支付尾款,付款,采购合同,2026-06-17
每月服务费应于次月5日前结清,付款,服务合同,2026-06-17
租金按季度首月10日前支付,付款,租赁合同,2026-06-17
货到验收后15日内付款,付款,采购合同,2026-06-17
卖方逾期交付需承担合同总额10%违约金,违约,采购合同,2026-06-17
任一方擅自解除合同应赔偿全部损失,违约,服务合同,2026-06-17
质量不合格的应返工并赔偿损失,违约,建设工程合同,2026-06-17
延迟履行主要义务的守约方可解除合同,违约,采购合同,2026-06-17
泄露商业秘密的一方应承担违约责任,违约,保密协议,2026-06-17
合同期满双方无异议则自动续约一年,自动续约,服务合同,2026-06-17
协议到期未书面终止则继续生效,自动续约,采购合同,2026-06-17
租赁期届满继续使用且出租人无异议则自动延续,自动续约,租赁合同,2026-06-17
会员服务期满后默认续订下一周期,自动续约,服务合同,2026-06-17
框架合作到期后按原条件自动续展两年,自动续约,合作协议,2026-06-17
